Time,Data
65797,-0.0003470755
65798,-0.0003199435
65799,-0.0001378115
65800,-7.69708e-05
65801,-3.68713e-05
65802,-5.77894e-05
65803,-6.50031e-05
65804,6.64188e-05
65805,2.37092e-05
65806,0.0001877573
65807,0.0004081653
65808,0.0007268424
65809,0.0009271979
65810,0.0009527354
65811,0.0008368426
65812,0.0005907207
65813,-0.0004811574
65814,-0.0006360558
65815,-0.0008528219
65816,-0.0004669778
65817,0.0001115839
65818,-0.0001455415
65819,-0.000385458
65820,-0.0007207042
65821,-0.0008018336
65822,-0.0005291443
65823,-1.72801e-05
65824,-5.04551e-05
65825,-0.0008643193
65826,-0.0010276088
65827,-0.0007528082
65828,-0.0008184714
65829,-0.0003958295
65830,-0.0002450158
65831,-0.0002912444
65832,-0.000235152
65833,-0.0002354873
65834,2.1481e-05
65835,0.0001640393
65836,0.0002935518
65837,0.0004850093
65838,0.0006549425
65839,0.0006922496
65840,0.0006863599
65841,0.0007067869
65842,2.60847e-05
65843,-0.00052719
65844,-0.0008567597
65845,-0.0009876536
65846,-0.0010481513
65847,-0.0010454664
65848,-0.0009357761
65849,-0.000428953
65850,-0.0001998386
65851,-0.0005688582
65852,-0.000783068
65853,-0.0007705881
65854,-0.0007262459
65855,-0.0004343281
65856,-0.00020334
65857,-0.0002100575
65858,-0.0001838195
65859,-0.0001764206
65860,-0.0001056877
65861,-7.88643e-05
65862,-8.40334e-05
65863,4.19568e-05
65864,-2.21477e-05
65865,3.52408e-05
65866,-4.07189e-05
65867,0.00017706
65868,9.33047e-05
65869,0.0002236828
65870,0.0001938484
65871,0.0001171146
65872,0.0004707524
65873,0.0004872001
65874,0.0006086627
65875,0.0005052393
65876,0.0004740561
65877,0.0005159056
65878,0.0002810578
65879,0.0003144433
65880,0.0003465053
65881,-0.0004636336
65882,-0.0010916616
65883,-0.0013628385
65884,-0.0010243963
65885,-0.0009015533
65886,-0.0005759564
65887,-0.0006765561
65888,-0.0006163265
65889,-0.0004086261
65890,-0.000153923
65891,-0.000304419
65892,-0.0003643462
65893,-0.0002595535
65894,-0.0001768073
65895,-4.80305e-05
65896,0.0001092836
65897,0.0003412761
65898,0.0004879143
65899,0.0005189753
65900,0.0004134869
65901,0.0002481186
65902,0.0001453954
65903,-0.0003760185
65904,-0.00080998
65905,-0.0009929707
65906,-0.0012726693
65907,-0.0010385336
65908,-0.0006489422
65909,-0.0005964026
65910,-0.0006412521
65911,-0.0006563775
65912,-0.0006054017
65913,-0.0006079359
65914,-0.0004817298
65915,-0.0006362388
65916,-0.0006536912
65917,-0.0004418719
65918,-0.0003532096
65919,-0.0003030411
65920,-0.0003366431
65921,-0.0001724477
65922,-0.0001608321
65923,-0.0002611887
65924,-9.57493e-05
65925,-9.98991e-05
65926,0.0002099119
65927,3.08666e-05
65928,-4.31114e-05
65929,0.0001963257
65930,0.0001417834
65931,4.57792e-05
65932,8.92134e-05
65933,0.0001104225
65934,0.0003081938
65935,0.0005467435
65936,0.0007112148
65937,0.000494358
65938,0.0004525691
65939,0.000378516
65940,0.0002701683
65941,0.0001539478
65942,-2.15618e-05
65943,-0.0005501742
65944,-0.0009150762
65945,-0.0007894833
65946,-0.0007016409
65947,-0.000646263
65948,-0.0005540854
65949,-0.0007178532
65950,-0.0005277185
65951,-0.0005481009
65952,-0.0003707796
65953,-8.49579e-05
65954,-0.0002330264
