Frame,Whisker_Count,Filter_Type
10802,4,Less_Than_5
10803,4,Less_Than_5
10804,4,Less_Than_5
10805,4,Less_Than_5
10806,4,Less_Than_5
10807,4,Less_Than_5
10808,4,Less_Than_5
10809,4,Less_Than_5
10810,4,Less_Than_5
10811,4,Less_Than_5
10813,6,More_Than_5
10817,6,More_Than_5
10845,6,More_Than_5
10872,6,More_Than_5
10907,6,More_Than_5
10910,4,Less_Than_5
10911,4,Less_Than_5
10912,4,Less_Than_5
10913,4,Less_Than_5
10914,4,Less_Than_5
10915,4,Less_Than_5
10917,6,More_Than_5
10918,6,More_Than_5
10919,7,More_Than_5
10920,4,Less_Than_5
10921,4,Less_Than_5
10922,4,Less_Than_5
10923,4,Less_Than_5
10924,4,Less_Than_5
10925,4,Less_Than_5
10926,4,Less_Than_5
10927,4,Less_Than_5
10928,4,Less_Than_5
10929,3,Less_Than_5
10930,3,Less_Than_5
10931,3,Less_Than_5
10932,3,Less_Than_5
10933,3,Less_Than_5
10934,2,Less_Than_5
10935,2,Less_Than_5
10936,2,Less_Than_5
10937,3,Less_Than_5
10938,3,Less_Than_5
10939,3,Less_Than_5
10940,3,Less_Than_5
10941,3,Less_Than_5
10942,3,Less_Than_5
10943,3,Less_Than_5
10944,3,Less_Than_5
10945,3,Less_Than_5
10946,2,Less_Than_5
10947,2,Less_Than_5
10948,2,Less_Than_5
10949,2,Less_Than_5
10950,3,Less_Than_5
10951,3,Less_Than_5
10952,3,Less_Than_5
10953,3,Less_Than_5
10954,3,Less_Than_5
10955,3,Less_Than_5
10956,3,Less_Than_5
10957,2,Less_Than_5
10958,3,Less_Than_5
10959,2,Less_Than_5
10960,2,Less_Than_5
10961,2,Less_Than_5
10962,2,Less_Than_5
10963,3,Less_Than_5
10964,3,Less_Than_5
10965,3,Less_Than_5
10966,2,Less_Than_5
10967,2,Less_Than_5
10968,2,Less_Than_5
10969,2,Less_Than_5
10970,3,Less_Than_5
10971,4,Less_Than_5
10972,3,Less_Than_5
10973,3,Less_Than_5
10974,3,Less_Than_5
10975,4,Less_Than_5
10976,3,Less_Than_5
10977,3,Less_Than_5
10978,2,Less_Than_5
10979,3,Less_Than_5
10980,2,Less_Than_5
10981,2,Less_Than_5
10982,3,Less_Than_5
10983,2,Less_Than_5
10984,3,Less_Than_5
10985,4,Less_Than_5
10986,2,Less_Than_5
10987,3,Less_Than_5
10988,2,Less_Than_5
10989,2,Less_Than_5
10990,4,Less_Than_5
10993,7,More_Than_5
10994,6,More_Than_5
10996,4,Less_Than_5
10997,4,Less_Than_5
10998,4,Less_Than_5
10999,4,Less_Than_5
11000,4,Less_Than_5
11002,4,Less_Than_5
11003,4,Less_Than_5
11006,6,More_Than_5
11008,6,More_Than_5
11016,4,Less_Than_5
11017,4,Less_Than_5
11018,4,Less_Than_5
11024,6,More_Than_5
